rank,country,january,february,march,april,may,june,july,august,september,october,total,share
173,GRENADA,6,3,5,3,1,7,3,4,-,-,32,0.00%
173,SINT MAARTEN (DUTCH PART),4,-,1,6,-,5,6,-,3,7,32,0.00%
174,BRITISH VIRGIN ISLANDS,6,3,4,2,3,-,5,3,5,-,31,0.00%
174,CENTRAL AFRICAN REPUBLIC,2,2,-,1,2,6,8,7,-,3,31,0.00%
175,TUVALU,-,-,7,4,2,4,1,-,1,11,30,0.00%
176,BARBADOS,-,-,5,4,4,-,3,9,1,3,29,0.00%
176,CHAD,2,4,8,5,2,1,1,4,-,2,29,0.00%
176,TURKS AND CAICOS,4,-,1,6,2,1,3,5,6,1,29,0.00%
176,GREENLAND,2,2,1,4,1,5,2,2,3,7,29,0.00%
177,GUADELOUPE,-,1,3,3,3,3,8,4,2,1,28,0.00%
177,MARTINIQUE,2,1,15,2,1,2,1,-,4,-,28,0.00%
178,SAINT LUCIA,-,3,7,5,1,2,4,4,-,1,27,0.00%
179,FRENCH GUIANA,-,-,8,2,1,1,6,3,1,3,25,0.00%
180,GUYANA,-,6,4,-,1,2,4,5,-,2,24,0.00%
180,MALI,2,2,2,1,-,1,4,7,3,2,24,0.00%
181,ANTIGUA AND BARBUDA,-,1,2,3,3,3,6,2,3,-,23,0.00%
181,HAITI,5,-,3,4,1,1,1,3,4,1,23,0.00%
182,SAN MARINO,1,8,3,-,-,-,1,4,2,3,22,0.00%
183,GABON,1,-,-,-,1,1,3,4,7,3,20,0.00%
184,"BONAIRE, SINT EUSTATIUS AND SABA",1,1,2,-,2,2,5,1,2,3,19,0.00%
184,SAINT VINCENT AND THE GRENADINES,6,2,3,-,4,1,2,-,-,1,19,0.00%
184,SIERRA LEONE,-,-,1,-,3,5,-,1,5,4,19,0.00%
185,EQUATORIAL GUINEA,1,3,-,5,1,-,2,2,-,2,16,0.00%
186,DOMINICA,1,2,1,1,-,2,5,1,1,1,15,0.00%
187,FALKLAND ISLANDS (MALVINAS),-,-,1,-,1,1,5,-,3,2,13,0.00%
188,COMOROS,1,3,2,-,1,-,-,-,4,-,11,0.00%
188,LESOTHO,-,-,-,1,-,1,-,2,6,1,11,0.00%
188,NIGER,-,1,1,-,2,4,-,-,1,2,11,0.00%
189,CABO VERDE,1,-,1,2,-,4,2,-,-,-,10,0.00%
189,SOMALIA,1,2,-,2,3,1,-,1,-,-,10,0.00%
190,CUBA,1,-,-,2,2,-,1,-,1,2,9,0.00%
